Partlist exported from F:/Projekty/Finished_to_be_published/Plasma_speaker/Github/Plasma speaker.sch at 29.07.2018 18:45

Part  Value            Device                  Package                 Description                                                     
LED3  RED              LED5MM                  LED5MM                  LED                                                             
LED4  YELLOW           LED5MM                  LED5MM                  LED                                                             
LED5  YELLOW           LED5MM                  LED5MM                  LED                                                             
LED6  GREEN            LED5MM                  LED5MM                  LED                                                             
LED7  GREEN            LED5MM                  LED5MM                  LED                                                             
LED8  RED              LED5MM                  LED5MM                  LED                                                             
LED9  YELLOW           LED5MM                  LED5MM                  LED                                                             
LED10 GREEN            LED5MM                  LED5MM                  LED                                                             
LED11 GREEN            LED5MM                  LED5MM                  LED                                                             
LED12 GREEN            LED5MM                  LED5MM                  LED                                                             
P1    GOLDPIN/2        P-02-SIP-100-40Y        SIP-100-02-40Y          HEADER PLUG PINS                                                
PR1   10k              TRIM_EU-CA6V            CA6V                    POTENTIOMETER                                                   
PR2   10k              3RP/1610N               3RP/1610N               16mm Potentiometer one level                                    
PR3   22k              3RP/1610N               3RP/1610N               16mm Potentiometer one level                                    
PR4   470k             TRIM_EU-CA6V            CA6V                    POTENTIOMETER                                                   
Q1    BC327            BC327-25-PNP-TO92-EBC   TO92-EBC                PNP Transistror                                                 
Q2    IRFP260          IRFP240                 TO247BV                 HEXFET Power MosFet                                             
R1    1,8k             R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R2    1k               R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R3    100-270/2W       R-EU_0309/12            0309/12                 RESISTOR, European symbol                                       
R4    510R             R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R5    1k               R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R6    33R              R-EU_0207/10            0207/10                 RESISTOR, European symbol                                       
R7    430k             R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R8    10k              R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R9    1k               R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R10   4,7k             R-EU_0204/7             0204/7                  RESISTOR, European symbol                                       
R11   100/1W           R-EU_0411/15            0411/15                 RESISTOR, European symbol                                       
RAD1  TO3              RADIATOR-A              RADIATOR                                                                                
S1    ROCKERSWITCH     ROCKERSWITCH            ROCKER                                                                                  
SOC1  STEREOJACKSOCKET PICAXE_STEREOJACKSOCKET PICAXE_STEREOJACKSOCKET                                                                 
T1    IRF9540          IRF9530                 TO220                   P-Channel Enhancement MOSFET (HEXFET); -100V; -12A; 0,3Ohm      
TR1   22k NTC          NTC640                  P640                    PHILIPS NTC                                                     
